"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 7:01:26 PM"


19
X,Y
1.39617,0.691040,
1.70875,0.653029,
1.83740,0.762708,
1.92577,0.964387,
1.99150,1.22126,
2.05214,1.41693,
2.08747,1.47189,
2.14285,1.34921,
2.25605,1.00590,
2.32653,0.840303,
2.44247,0.803095,
2.55350,0.961825,
2.65202,1.24305,
2.75567,1.65896,
2.85665,1.87283,
2.97271,1.99480,
3.09374,2.03104,
3.24238,1.89574,
3.24238,1.89574,
