"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 7:02:18 PM"


18
X,Y
1.39347,0.428648,
1.61797,0.605646,
1.76441,0.930205,
1.88059,1.24875,
1.95375,1.32207,
2.02683,1.27883,
2.12506,1.13732,
2.25612,1.09384,
2.36460,1.20383,
2.46820,1.55310,
2.58205,2.13547,
2.68079,2.74243,
2.75158,3.03662,
2.82728,3.13448,
2.99619,3.13992,
3.12976,3.08416,
3.23551,2.88740,
3.23551,2.88740,
