"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 7:00:40 PM"


23
X,Y
1.38567,0.0910849,
1.65805,0.243034,
1.80949,0.499558,
1.89036,0.793104,
1.96124,1.21526,
1.99418,1.44778,
2.03712,1.57005,
2.06739,1.60666,
2.12275,1.44725,
2.18555,1.12863,
2.27857,0.754785,
2.40448,0.546108,
2.48768,0.564136,
2.59368,0.735131,
2.70235,1.11428,
2.76807,1.36503,
2.86651,1.54830,
2.95236,1.73774,
3.04578,1.93940,
3.11131,1.91465,
3.16917,1.74910,
3.24211,1.49167,
3.24211,1.49167,
