"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 6:58:04 PM"


18
X,Y
1.39740,2.88974,
1.80614,3.60544,
1.90956,3.74118,
1.98010,3.63166,
2.04547,3.24945,
2.11832,2.69446,
2.17871,2.45774,
2.24930,2.45731,
2.40072,2.79275,
2.58494,3.20072,
2.66315,3.31843,
2.78662,3.19950,
2.92515,2.93503,
2.96040,2.83481,
3.04343,2.48886,
3.14905,1.91549,
3.23966,1.59676,
3.23965,1.58767,
