"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 6:59:29 PM"


15
X,Y
1.40052,4.17153,
1.68804,4.43343,
1.77378,4.50563,
1.86705,4.46871,
1.96776,4.19537,
2.06853,4.04021,
2.18957,4.12130,
2.39146,4.57462,
2.51008,4.85572,
2.60087,4.91880,
2.68393,4.64557,
2.78453,4.12678,
2.94554,3.40763,
3.05882,3.05240,
3.24759,2.39671,
