"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 6:58:44 PM"


16
X,Y
1.39511,3.37157,
1.70020,3.47881,
1.89946,3.70488,
1.97007,3.74081,
2.04310,3.56764,
2.09589,3.25823,
2.16887,2.96688,
2.25710,2.95726,
2.36557,3.10205,
2.51448,3.47388,
2.61791,3.60961,
2.69607,3.64550,
2.85472,3.27182,
2.97304,2.91656,
3.12412,2.51564,
3.23992,2.16040,
