"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 6:50:48 PM"


50
X,Y
1.00328,17.8633,
1.20608,18.5515,
1.40178,20.0313,
1.52991,21.7619,
1.59451,23.5995,
1.68269,25.7976,
1.73863,28.6074,
1.75911,31.5969,
1.80254,34.1905,
1.83492,30.5173,
1.82863,27.8882,
1.82982,25.6193,
1.86966,23.5309,
1.96434,26.5571,
2.01545,24.6129,
2.03377,22.2721,
2.06907,20.6878,
2.17456,22.5617,
2.27557,24.9036,
2.38135,27.1375,
2.45049,29.5871,
2.55660,27.8232,
2.60243,24.2942,
2.69441,20.0091,
2.73313,14.0670,
2.84186,9.49393,
3.06855,4.77761,
3.24489,-0.191250,
3.62975,3.34058,
3.70611,3.77320,
4.09779,3.99141,
4.32769,3.52438,
4.51589,1.14830,
4.83249,-1.44333,
5.01866,-1.80268,
5.57299,-1.98054,
5.91066,-2.62756,
6.08760,-3.23919,
6.48248,-3.30989,
6.84370,-2.51641,
7.79061,-1.61330,
8.32976,-1.25173,
9.43709,1.70413,
10.2219,0.661392,
10.8426,-0.417805,
12.0942,-1.60398,
12.9855,-1.24233,
15.2879,-0.806692,
18.6899,-0.334244,
29.4982,0.431732,
